completed,chosen_card,timestamp,alternatives,answer_card,page,button,correct,index,prompt,radio_button_chosen
5,"None",1532571971,"[ ""static/25/rc_vocab_25_11.png"", ""static/55/rc_vocab_55_41.png"", ""static/43/rc_vocab_43_15.png"", ""static/39/rc_vocab_39_17.png"" ]","static/25/rc_vocab_25_11.png","Quiz","Next",4,5,"static/25/rc_vocab_25_10.png","None"
5,"static/25/rc_vocab_25_11.png",1532571983,"[ ""static/25/rc_vocab_25_11.png"", ""static/55/rc_vocab_55_41.png"", ""static/43/rc_vocab_43_15.png"", ""static/39/rc_vocab_39_17.png"" ]","static/25/rc_vocab_25_11.png","Quiz","Submit",5,5,"static/25/rc_vocab_25_10.png",0
6,"None",1532571984,"[ ""static/73/rc_vocab_73_29.png"", ""static/25/rc_vocab_25_17.png"", ""static/73/rc_vocab_73_27.png"", ""static/39/rc_vocab_39_1.png"" ]","static/25/rc_vocab_25_17.png","Quiz","Next",5,6,"static/25/rc_vocab_25_16.png","None"
6,"static/25/rc_vocab_25_17.png",1532571990,"[ ""static/73/rc_vocab_73_29.png"", ""static/25/rc_vocab_25_17.png"", ""static/73/rc_vocab_73_27.png"", ""static/39/rc_vocab_39_1.png"" ]","static/25/rc_vocab_25_17.png","Quiz","Submit",6,6,"static/25/rc_vocab_25_16.png",1
7,"None",1532571991,"[ ""static/43/rc_vocab_43_45.png"", ""static/28/rc_vocab_28_15.png"", ""static/33/rc_vocab_33_29.png"", ""static/25/rc_vocab_25_29.png"" ]","static/25/rc_vocab_25_29.png","Quiz","Next",6,7,"static/25/rc_vocab_25_28.png","None"
7,"static/25/rc_vocab_25_29.png",1532571998,"[ ""static/43/rc_vocab_43_45.png"", ""static/28/rc_vocab_28_15.png"", ""static/33/rc_vocab_33_29.png"", ""static/25/rc_vocab_25_29.png"" ]","static/25/rc_vocab_25_29.png","Quiz","Submit",7,7,"static/25/rc_vocab_25_28.png",3
8,"None",1532572000,"[ ""static/64/rc_vocab_64_21.png"", ""static/62/rc_vocab_62_7.png"", ""static/23/rc_vocab_23_3.png"", ""static/25/rc_vocab_25_33.png"" ]","static/25/rc_vocab_25_33.png","Quiz","Next",7,8,"static/25/rc_vocab_25_32.png","None"
8,"static/25/rc_vocab_25_33.png",1532572008,"[ ""static/64/rc_vocab_64_21.png"", ""static/62/rc_vocab_62_7.png"", ""static/23/rc_vocab_23_3.png"", ""static/25/rc_vocab_25_33.png"" ]","static/25/rc_vocab_25_33.png","Quiz","Submit",8,8,"static/25/rc_vocab_25_32.png",3
9,"None",1532572009,"[ ""static/43/rc_vocab_43_1.png"", ""static/25/rc_vocab_25_29.png"", ""static/20/rc_vocab_20_25.png"", ""static/25/rc_vocab_25_13.png"" ]","static/25/rc_vocab_25_13.png","Quiz","Next",8,9,"static/25/rc_vocab_25_12.png","None"
9,"static/25/rc_vocab_25_13.png",1532572015,"[ ""static/43/rc_vocab_43_1.png"", ""static/25/rc_vocab_25_29.png"", ""static/20/rc_vocab_20_25.png"", ""static/25/rc_vocab_25_13.png"" ]","static/25/rc_vocab_25_13.png","Quiz","Submit",9,9,"static/25/rc_vocab_25_12.png",3
10,"None",1532572016,"[ ""static/25/rc_vocab_25_19.png"", ""static/60/rc_vocab_60_57.png"", ""static/56/rc_vocab_56_9.png"", ""static/40/rc_vocab_40_59.png"" ]","static/25/rc_vocab_25_19.png","Quiz","Next",9,10,"static/25/rc_vocab_25_18.png","None"
10,"static/25/rc_vocab_25_19.png",1532572022,"[ ""static/25/rc_vocab_25_19.png"", ""static/60/rc_vocab_60_57.png"", ""static/56/rc_vocab_56_9.png"", ""static/40/rc_vocab_40_59.png"" ]","static/25/rc_vocab_25_19.png","Quiz","Submit",10,10,"static/25/rc_vocab_25_18.png",0
11,"None",1532572023,"[ ""static/7/rc_vocab_7_11.png"", ""static/19/rc_vocab_19_39.png"", ""static/42/rc_vocab_42_23.png"", ""static/25/rc_vocab_25_27.png"" ]","static/25/rc_vocab_25_27.png","Quiz","Next",10,11,"static/25/rc_vocab_25_26.png","None"
11,"static/25/rc_vocab_25_27.png",1532572031,"[ ""static/7/rc_vocab_7_11.png"", ""static/19/rc_vocab_19_39.png"", ""static/42/rc_vocab_42_23.png"", ""static/25/rc_vocab_25_27.png"" ]","static/25/rc_vocab_25_27.png","Quiz","Submit",11,11,"static/25/rc_vocab_25_26.png",3
12,"None",1532572032,"[ ""static/40/rc_vocab_40_1.png"", ""static/46/rc_vocab_46_11.png"", ""static/21/rc_vocab_21_27.png"", ""static/25/rc_vocab_25_1.png"" ]","static/25/rc_vocab_25_1.png","Quiz","Next",11,12,"static/25/rc_vocab_25_0.png","None"
12,"static/40/rc_vocab_40_1.png",1532572054,"[ ""static/40/rc_vocab_40_1.png"", ""static/46/rc_vocab_46_11.png"", ""static/21/rc_vocab_21_27.png"", ""static/25/rc_vocab_25_1.png"" ]","static/25/rc_vocab_25_1.png","Quiz","Submit",11,12,"static/25/rc_vocab_25_0.png",0
12,"static/25/rc_vocab_25_1.png",1532572066,"[ ""static/40/rc_vocab_40_1.png"", ""static/46/rc_vocab_46_11.png"", ""static/21/rc_vocab_21_27.png"", ""static/25/rc_vocab_25_1.png"" ]","static/25/rc_vocab_25_1.png","Quiz","Submit",11,12,"static/25/rc_vocab_25_0.png",3
13,"None",1532572067,"[ ""static/53/rc_vocab_53_3.png"", ""static/35/rc_vocab_35_17.png"", ""static/25/rc_vocab_25_25.png"", ""static/45/rc_vocab_45_37.png"" ]","static/25/rc_vocab_25_25.png","Quiz","Next",11,13,"static/25/rc_vocab_25_24.png","None"
13,"static/25/rc_vocab_25_25.png",1532572074,"[ ""static/53/rc_vocab_53_3.png"", ""static/35/rc_vocab_35_17.png"", ""static/25/rc_vocab_25_25.png"", ""static/45/rc_vocab_45_37.png"" ]","static/25/rc_vocab_25_25.png","Quiz","Submit",12,13,"static/25/rc_vocab_25_24.png",2
14,"None",1532572075,"[ ""static/25/rc_vocab_25_7.png"", ""static/61/rc_vocab_61_57.png"", ""static/73/rc_vocab_73_67.png"", ""static/15/rc_vocab_15_13.png"" ]","static/25/rc_vocab_25_7.png","Quiz","Next",12,14,"static/25/rc_vocab_25_6.png","None"
14,"static/25/rc_vocab_25_7.png",1532572080,"[ ""static/25/rc_vocab_25_7.png"", ""static/61/rc_vocab_61_57.png"", ""static/73/rc_vocab_73_67.png"", ""static/15/rc_vocab_15_13.png"" ]","static/25/rc_vocab_25_7.png","Quiz","Submit",13,14,"static/25/rc_vocab_25_6.png",0
15,"None",1532572081,"[ ""static/67/rc_vocab_67_63.png"", ""static/40/rc_vocab_40_19.png"", ""static/49/rc_vocab_49_3.png"", ""static/25/rc_vocab_25_31.png"" ]","static/25/rc_vocab_25_31.png","Quiz","Next",13,15,"static/25/rc_vocab_25_30.png","None"
15,"static/25/rc_vocab_25_31.png",1532572097,"[ ""static/67/rc_vocab_67_63.png"", ""static/40/rc_vocab_40_19.png"", ""static/49/rc_vocab_49_3.png"", ""static/25/rc_vocab_25_31.png"" ]","static/25/rc_vocab_25_31.png","Quiz","Submit",14,15,"static/25/rc_vocab_25_30.png",3
16,"None",1532572098,"[ ""static/34/rc_vocab_34_21.png"", ""static/40/rc_vocab_40_35.png"", ""static/46/rc_vocab_46_27.png"", ""static/25/rc_vocab_25_15.png"" ]","static/25/rc_vocab_25_15.png","Quiz","Next",14,16,"static/25/rc_vocab_25_14.png","None"
17,"static/25/rc_vocab_25_15.png",1532572123,"[ ""static/34/rc_vocab_34_21.png"", ""static/40/rc_vocab_40_35.png"", ""static/46/rc_vocab_46_27.png"", ""static/25/rc_vocab_25_15.png"" ]","static/25/rc_vocab_25_15.png","Quiz","Submit",15,16,"static/25/rc_vocab_25_14.png",3
17,"None",1532572126,"[ ""static/34/rc_vocab_34_21.png"", ""static/40/rc_vocab_40_35.png"", ""static/46/rc_vocab_46_27.png"", ""static/25/rc_vocab_25_15.png"" ]","static/25/rc_vocab_25_15.png","Quiz","Main Menu",15,16,"static/25/rc_vocab_25_14.png","None"
0,"static/45/rc_vocab_45_43.png",1532572171,"[ ""static/27/rc_vocab_27_7.png"", ""static/45/rc_vocab_45_43.png"", ""static/26/rc_vocab_26_31.png"", ""static/73/rc_vocab_73_119.png"" ]","static/45/rc_vocab_45_43.png","Quiz","Submit",1,0,"static/45/rc_vocab_45_42.png",1
1,"None",1532572172,"[ ""static/45/rc_vocab_45_5.png"", ""static/37/rc_vocab_37_69.png"", ""static/4/rc_vocab_4_31.png"", ""static/64/rc_vocab_64_49.png"" ]","static/45/rc_vocab_45_5.png","Quiz","Next",1,1,"static/45/rc_vocab_45_4.png","None"
1,"static/45/rc_vocab_45_5.png",1532572176,"[ ""static/45/rc_vocab_45_5.png"", ""static/37/rc_vocab_37_69.png"", ""static/4/rc_vocab_4_31.png"", ""static/64/rc_vocab_64_49.png"" ]","static/45/rc_vocab_45_5.png","Quiz","Submit",2,1,"static/45/rc_vocab_45_4.png",0
2,"None",1532572177,"[ ""static/70/rc_vocab_70_35.png"", ""static/45/rc_vocab_45_3.png"", ""static/21/rc_vocab_21_31.png"", ""static/24/rc_vocab_24_3.png"" ]","static/45/rc_vocab_45_3.png","Quiz","Next",2,2,"static/45/rc_vocab_45_2.png","None"
2,"static/45/rc_vocab_45_3.png",1532572182,"[ ""static/70/rc_vocab_70_35.png"", ""static/45/rc_vocab_45_3.png"", ""static/21/rc_vocab_21_31.png"", ""static/24/rc_vocab_24_3.png"" ]","static/45/rc_vocab_45_3.png","Quiz","Submit",3,2,"static/45/rc_vocab_45_2.png",1
3,"None",1532572183,"[ ""static/45/rc_vocab_45_23.png"", ""static/54/rc_vocab_54_3.png"", ""static/16/rc_vocab_16_23.png"", ""static/70/rc_vocab_70_11.png"" ]","static/45/rc_vocab_45_23.png","Quiz","Next",3,3,"static/45/rc_vocab_45_22.png","None"
3,"static/45/rc_vocab_45_23.png",1532572187,"[ ""static/45/rc_vocab_45_23.png"", ""static/54/rc_vocab_54_3.png"", ""static/16/rc_vocab_16_23.png"", ""static/70/rc_vocab_70_11.png"" ]","static/45/rc_vocab_45_23.png","Quiz","Submit",4,3,"static/45/rc_vocab_45_22.png",0
4,"None",1532572190,"[ ""static/59/rc_vocab_59_55.png"", ""static/31/rc_vocab_31_11.png"", ""static/38/rc_vocab_38_31.png"", ""static/45/rc_vocab_45_49.png"" ]","static/45/rc_vocab_45_49.png","Quiz","Next",4,4,"static/45/rc_vocab_45_48.png","None"
4,"static/45/rc_vocab_45_49.png",1532572208,"[ ""static/59/rc_vocab_59_55.png"", ""static/31/rc_vocab_31_11.png"", ""static/38/rc_vocab_38_31.png"", ""static/45/rc_vocab_45_49.png"" ]","static/45/rc_vocab_45_49.png","Quiz","Submit",5,4,"static/45/rc_vocab_45_48.png",3
5,"None",1532572210,"[ ""static/41/rc_vocab_41_5.png"", ""static/45/rc_vocab_45_17.png"", ""static/50/rc_vocab_50_19.png"", ""static/27/rc_vocab_27_17.png"" ]","static/45/rc_vocab_45_17.png","Quiz","Next",5,5,"static/45/rc_vocab_45_16.png","None"
5,"static/45/rc_vocab_45_17.png",1532572221,"[ ""static/41/rc_vocab_41_5.png"", ""static/45/rc_vocab_45_17.png"", ""static/50/rc_vocab_50_19.png"", ""static/27/rc_vocab_27_17.png"" ]","static/45/rc_vocab_45_17.png","Quiz","Submit",6,5,"static/45/rc_vocab_45_16.png",1
6,"None",1532572222,"[ ""static/12/rc_vocab_12_37.png"", ""static/27/rc_vocab_27_11.png"", ""static/47/rc_vocab_47_15.png"", ""static/45/rc_vocab_45_35.png"" ]","static/45/rc_vocab_45_35.png","Quiz","Next",6,6,"static/45/rc_vocab_45_34.png","None"
6,"static/45/rc_vocab_45_35.png",1532572229,"[ ""static/12/rc_vocab_12_37.png"", ""static/27/rc_vocab_27_11.png"", ""static/47/rc_vocab_47_15.png"", ""static/45/rc_vocab_45_35.png"" ]","static/45/rc_vocab_45_35.png","Quiz","Submit",7,6,"static/45/rc_vocab_45_34.png",3
7,"None",1532572229,"[ ""static/39/rc_vocab_39_7.png"", ""static/41/rc_vocab_41_41.png"", ""static/35/rc_vocab_35_1.png"", ""static/45/rc_vocab_45_19.png"" ]","static/45/rc_vocab_45_19.png","Quiz","Next",7,7,"static/45/rc_vocab_45_18.png","None"
7,"static/45/rc_vocab_45_19.png",1532572239,"[ ""static/39/rc_vocab_39_7.png"", ""static/41/rc_vocab_41_41.png"", ""static/35/rc_vocab_35_1.png"", ""static/45/rc_vocab_45_19.png"" ]","static/45/rc_vocab_45_19.png","Quiz","Submit",8,7,"static/45/rc_vocab_45_18.png",3
8,"None",1532572240,"[ ""static/35/rc_vocab_35_29.png"", ""static/11/rc_vocab_11_7.png"", ""static/46/rc_vocab_46_39.png"", ""static/45/rc_vocab_45_21.png"" ]","static/45/rc_vocab_45_21.png","Quiz","Next",8,8,"static/45/rc_vocab_45_20.png","None"
8,"static/45/rc_vocab_45_21.png",1532572245,"[ ""static/35/rc_vocab_35_29.png"", ""static/11/rc_vocab_11_7.png"", ""static/46/rc_vocab_46_39.png"", ""static/45/rc_vocab_45_21.png"" ]","static/45/rc_vocab_45_21.png","Quiz","Submit",9,8,"static/45/rc_vocab_45_20.png",3
9,"None",1532572246,"[ ""static/64/rc_vocab_64_89.png"", ""static/45/rc_vocab_45_33.png"", ""static/23/rc_vocab_23_7.png"", ""static/52/rc_vocab_52_31.png"" ]","static/45/rc_vocab_45_33.png","Quiz","Next",9,9,"static/45/rc_vocab_45_32.png","None"
9,"static/45/rc_vocab_45_33.png",1532572251,"[ ""static/64/rc_vocab_64_89.png"", ""static/45/rc_vocab_45_33.png"", ""static/23/rc_vocab_23_7.png"", ""static/52/rc_vocab_52_31.png"" ]","static/45/rc_vocab_45_33.png","Quiz","Submit",10,9,"static/45/rc_vocab_45_32.png",1
10,"None",1532572251,"[ ""static/60/rc_vocab_60_17.png"", ""static/22/rc_vocab_22_27.png"", ""static/45/rc_vocab_45_47.png"", ""static/34/rc_vocab_34_13.png"" ]","static/45/rc_vocab_45_47.png","Quiz","Next",10,10,"static/45/rc_vocab_45_46.png","None"
10,"static/45/rc_vocab_45_47.png",1532572257,"[ ""static/60/rc_vocab_60_17.png"", ""static/22/rc_vocab_22_27.png"", ""static/45/rc_vocab_45_47.png"", ""static/34/rc_vocab_34_13.png"" ]","static/45/rc_vocab_45_47.png","Quiz","Submit",11,10,"static/45/rc_vocab_45_46.png",2
11,"None",1532572261,"[ ""static/57/rc_vocab_57_71.png"", ""static/45/rc_vocab_45_29.png"", ""static/46/rc_vocab_46_15.png"", ""static/62/rc_vocab_62_57.png"" ]","static/45/rc_vocab_45_29.png","Quiz","Next",11,11,"static/45/rc_vocab_45_28.png","None"
11,"static/45/rc_vocab_45_29.png",1532572265,"[ ""static/57/rc_vocab_57_71.png"", ""static/45/rc_vocab_45_29.png"", ""static/46/rc_vocab_46_15.png"", ""static/62/rc_vocab_62_57.png"" ]","static/45/rc_vocab_45_29.png","Quiz","Submit",12,11,"static/45/rc_vocab_45_28.png",1
12,"None",1532572267,"[ ""static/55/rc_vocab_55_29.png"", ""static/73/rc_vocab_73_109.png"", ""static/45/rc_vocab_45_7.png"", ""static/55/rc_vocab_55_3.png"" ]","static/45/rc_vocab_45_7.png","Quiz","Next",12,12,"static/45/rc_vocab_45_6.png","None"
12,"static/45/rc_vocab_45_7.png",1532572273,"[ ""static/55/rc_vocab_55_29.png"", ""static/73/rc_vocab_73_109.png"", ""static/45/rc_vocab_45_7.png"", ""static/55/rc_vocab_55_3.png"" ]","static/45/rc_vocab_45_7.png","Quiz","Submit",13,12,"static/45/rc_vocab_45_6.png",2
13,"None",1532572274,"[ ""static/45/rc_vocab_45_45.png"", ""static/71/rc_vocab_71_9.png"", ""static/43/rc_vocab_43_15.png"", ""static/36/rc_vocab_36_45.png"" ]","static/45/rc_vocab_45_45.png","Quiz","Next",13,13,"static/45/rc_vocab_45_44.png","None"
13,"static/45/rc_vocab_45_45.png",1532572280,"[ ""static/45/rc_vocab_45_45.png"", ""static/71/rc_vocab_71_9.png"", ""static/43/rc_vocab_43_15.png"", ""static/36/rc_vocab_36_45.png"" ]","static/45/rc_vocab_45_45.png","Quiz","Submit",14,13,"static/45/rc_vocab_45_44.png",0
14,"None",1532572281,"[ ""static/50/rc_vocab_50_43.png"", ""static/45/rc_vocab_45_9.png"", ""static/69/rc_vocab_69_33.png"", ""static/36/rc_vocab_36_39.png"" ]","static/45/rc_vocab_45_9.png","Quiz","Next",14,14,"static/45/rc_vocab_45_8.png","None"
14,"static/45/rc_vocab_45_9.png",1532572286,"[ ""static/50/rc_vocab_50_43.png"", ""static/45/rc_vocab_45_9.png"", ""static/69/rc_vocab_69_33.png"", ""static/36/rc_vocab_36_39.png"" ]","static/45/rc_vocab_45_9.png","Quiz","Submit",15,14,"static/45/rc_vocab_45_8.png",1
15,"None",1532572287,"[ ""static/6/rc_vocab_6_31.png"", ""static/45/rc_vocab_45_15.png"", ""static/32/rc_vocab_32_27.png"", ""static/24/rc_vocab_24_11.png"" ]","static/45/rc_vocab_45_15.png","Quiz","Next",15,15,"static/45/rc_vocab_45_14.png","None"
15,"static/45/rc_vocab_45_15.png",1532572293,"[ ""static/6/rc_vocab_6_31.png"", ""static/45/rc_vocab_45_15.png"", ""static/32/rc_vocab_32_27.png"", ""static/24/rc_vocab_24_11.png"" ]","static/45/rc_vocab_45_15.png","Quiz","Submit",16,15,"static/45/rc_vocab_45_14.png",1
16,"None",1532572294,"[ ""static/39/rc_vocab_39_29.png"", ""static/10/rc_vocab_10_9.png"", ""static/18/rc_vocab_18_29.png"", ""static/45/rc_vocab_45_39.png"" ]","static/45/rc_vocab_45_39.png","Quiz","Next",16,16,"static/45/rc_vocab_45_38.png","None"
16,"static/45/rc_vocab_45_39.png",1532572309,"[ ""static/39/rc_vocab_39_29.png"", ""static/10/rc_vocab_10_9.png"", ""static/18/rc_vocab_18_29.png"", ""static/45/rc_vocab_45_39.png"" ]","static/45/rc_vocab_45_39.png","Quiz","Submit",17,16,"static/45/rc_vocab_45_38.png",3
17,"None",1532572310,"[ ""static/20/rc_vocab_20_27.png"", ""static/48/rc_vocab_48_15.png"", ""static/45/rc_vocab_45_1.png"", ""static/29/rc_vocab_29_13.png"" ]","static/45/rc_vocab_45_1.png","Quiz","Next",17,17,"static/45/rc_vocab_45_0.png","None"
17,"static/45/rc_vocab_45_1.png",1532572325,"[ ""static/20/rc_vocab_20_27.png"", ""static/48/rc_vocab_48_15.png"", ""static/45/rc_vocab_45_1.png"", ""static/29/rc_vocab_29_13.png"" ]","static/45/rc_vocab_45_1.png","Quiz","Submit",18,17,"static/45/rc_vocab_45_0.png",2
18,"None",1532572326,"[ ""static/45/rc_vocab_45_13.png"", ""static/31/rc_vocab_31_3.png"", ""static/9/rc_vocab_9_59.png"", ""static/34/rc_vocab_34_7.png"" ]","static/45/rc_vocab_45_13.png","Quiz","Next",18,18,"static/45/rc_vocab_45_12.png","None"
18,"static/45/rc_vocab_45_13.png",1532572332,"[ ""static/45/rc_vocab_45_13.png"", ""static/31/rc_vocab_31_3.png"", ""static/9/rc_vocab_9_59.png"", ""static/34/rc_vocab_34_7.png"" ]","static/45/rc_vocab_45_13.png","Quiz","Submit",19,18,"static/45/rc_vocab_45_12.png",0
19,"None",1532572333,"[ ""static/45/rc_vocab_45_31.png"", ""static/39/rc_vocab_39_5.png"", ""static/63/rc_vocab_63_41.png"", ""static/20/rc_vocab_20_3.png"" ]","static/45/rc_vocab_45_31.png","Quiz","Next",19,19,"static/45/rc_vocab_45_30.png","None"
19,"static/63/rc_vocab_63_41.png",1532572367,"[ ""static/45/rc_vocab_45_31.png"", ""static/39/rc_vocab_39_5.png"", ""static/63/rc_vocab_63_41.png"", ""static/20/rc_vocab_20_3.png"" ]","static/45/rc_vocab_45_31.png","Quiz","Submit",19,19,"static/45/rc_vocab_45_30.png",2
19,"static/45/rc_vocab_45_31.png",1532572372,"[ ""static/45/rc_vocab_45_31.png"", ""static/39/rc_vocab_39_5.png"", ""static/63/rc_vocab_63_41.png"", ""static/20/rc_vocab_20_3.png"" ]","static/45/rc_vocab_45_31.png","Quiz","Submit",19,19,"static/45/rc_vocab_45_30.png",0
20,"None",1532572373,"[ ""static/44/rc_vocab_44_7.png"", ""static/74/rc_vocab_74_109.png"", ""static/12/rc_vocab_12_9.png"", ""static/45/rc_vocab_45_25.png"" ]","static/45/rc_vocab_45_25.png","Quiz","Next",19,20,"static/45/rc_vocab_45_24.png","None"
20,"static/45/rc_vocab_45_25.png",1532572380,"[ ""static/44/rc_vocab_44_7.png"", ""static/74/rc_vocab_74_109.png"", ""static/12/rc_vocab_12_9.png"", ""static/45/rc_vocab_45_25.png"" ]","static/45/rc_vocab_45_25.png","Quiz","Submit",20,20,"static/45/rc_vocab_45_24.png",3
21,"None",1532572380,"[ ""static/37/rc_vocab_37_41.png"", ""static/71/rc_vocab_71_57.png"", ""static/58/rc_vocab_58_41.png"", ""static/45/rc_vocab_45_37.png"" ]","static/45/rc_vocab_45_37.png","Quiz","Next",20,21,"static/45/rc_vocab_45_36.png","None"
21,"static/45/rc_vocab_45_37.png",1532572388,"[ ""static/37/rc_vocab_37_41.png"", ""static/71/rc_vocab_71_57.png"", ""static/58/rc_vocab_58_41.png"", ""static/45/rc_vocab_45_37.png"" ]","static/45/rc_vocab_45_37.png","Quiz","Submit",21,21,"static/45/rc_vocab_45_36.png",3
22,"None",1532572389,"[ ""static/15/rc_vocab_15_15.png"", ""static/22/rc_vocab_22_9.png"", ""static/45/rc_vocab_45_11.png"", ""static/73/rc_vocab_73_43.png"" ]","static/45/rc_vocab_45_11.png","Quiz","Next",21,22,"static/45/rc_vocab_45_10.png","None"
22,"static/45/rc_vocab_45_11.png",1532572394,"[ ""static/15/rc_vocab_15_15.png"", ""static/22/rc_vocab_22_9.png"", ""static/45/rc_vocab_45_11.png"", ""static/73/rc_vocab_73_43.png"" ]","static/45/rc_vocab_45_11.png","Quiz","Submit",22,22,"static/45/rc_vocab_45_10.png",2
23,"None",1532572396,"[ ""static/38/rc_vocab_38_11.png"", ""static/63/rc_vocab_63_11.png"", ""static/27/rc_vocab_27_25.png"", ""static/45/rc_vocab_45_27.png"" ]","static/45/rc_vocab_45_27.png","Quiz","Next",22,23,"static/45/rc_vocab_45_26.png","None"
23,"static/45/rc_vocab_45_27.png",1532572402,"[ ""static/38/rc_vocab_38_11.png"", ""static/63/rc_vocab_63_11.png"", ""static/27/rc_vocab_27_25.png"", ""static/45/rc_vocab_45_27.png"" ]","static/45/rc_vocab_45_27.png","Quiz","Submit",23,23,"static/45/rc_vocab_45_26.png",3
24,"None",1532572402,"[ ""static/73/rc_vocab_73_107.png"", ""static/45/rc_vocab_45_51.png"", ""static/66/rc_vocab_66_19.png"", ""static/68/rc_vocab_68_17.png"" ]","static/45/rc_vocab_45_51.png","Quiz","Next",23,24,"static/45/rc_vocab_45_50.png","None"
24,"static/45/rc_vocab_45_51.png",1532572408,"[ ""static/73/rc_vocab_73_107.png"", ""static/45/rc_vocab_45_51.png"", ""static/66/rc_vocab_66_19.png"", ""static/68/rc_vocab_68_17.png"" ]","static/45/rc_vocab_45_51.png","Quiz","Submit",24,24,"static/45/rc_vocab_45_50.png",1
25,"None",1532572409,"[ ""static/19/rc_vocab_19_41.png"", ""static/37/rc_vocab_37_67.png"", ""static/45/rc_vocab_45_41.png"", ""static/29/rc_vocab_29_15.png"" ]","static/45/rc_vocab_45_41.png","Quiz","Next",24,25,"static/45/rc_vocab_45_40.png","None"
26,"static/45/rc_vocab_45_41.png",1532572417,"[ ""static/19/rc_vocab_19_41.png"", ""static/37/rc_vocab_37_67.png"", ""static/45/rc_vocab_45_41.png"", ""static/29/rc_vocab_29_15.png"" ]","static/45/rc_vocab_45_41.png","Quiz","Submit",25,25,"static/45/rc_vocab_45_40.png",2
26,"None",1532572422,"[ ""static/19/rc_vocab_19_41.png"", ""static/37/rc_vocab_37_67.png"", ""static/45/rc_vocab_45_41.png"", ""static/29/rc_vocab_29_15.png"" ]","static/45/rc_vocab_45_41.png","Quiz","Main Menu",25,25,"static/45/rc_vocab_45_40.png","None"
0,"static/46/rc_vocab_46_35.png",1532572475,"[ ""static/19/rc_vocab_19_5.png"", ""static/7/rc_vocab_7_19.png"", ""static/47/rc_vocab_47_35.png"", ""static/46/rc_vocab_46_35.png"" ]","static/46/rc_vocab_46_35.png","Quiz","Submit",1,0,"static/46/rc_vocab_46_34.png",3
